체험마을명,시군구명,체험프로그램구분,체험프로그램명,소재지도로명주소,대표전화번호,홈페이지주소
신현(쌈지돈)마을,보령시,농작물경작체험+만들기체험+자연생태체험+건강+기타,EM비누만들기+고구마캐기+논두렁밭두렁+동력패러글라이딩A+떡메치기+벼베기+삼색칼국수/삼색수제비+손두부만들기+텃밭정원가꾸기교육+추억훔치기-헛서리+인식물키우기+연만들기+씨앗파종+쑥개떡만들기+쌀강정만들기+수제소세지만들기+수경재배체험+황토염색체험+환경산업/EM쥬스만들기+향기산업/직업체험+토끼야오리야놀자+테라리움만들기+샤인머스켓수확+봄체험패키지+모내기체험+동력패러글라이딩B+다육이화분만들기+김치담그기,충청남도 보령시 천북면 삼산농현길 147-17,041-641-7744,NULL
십이연주권역,임실군,농작물경작체험+자연생태체험+건강+전통문화체험,건강.휴양체험+마을자원탐방+먹거리체험+예절.전통문화체험+축제.테마체험+자연생태체험+영농체험+농촌생활체험,전북특별자치도 임실군 지사면 영천3길 40-5,063-644-8103,NULL
쌍치오룡마을,순창군,기타,숙박고당산+숙박국사봉,전북특별자치도 순창군 쌍치면 국사봉로 516,NULL,NULL
안동백조마을,안동시,농작물경작체험+자연생태체험+기타,백조관람+안동찜닭+토마토체험(김치)+토마토체험(쿠키)+토마토체험(토마토잼)+백조체험,경상북도 안동시 남후면 무릉1길 20-13,054-856-7005,http://www.adswanvill.com
안동포길쌈마을,안동시,농작물경작체험+건강+전통문화체험+기타,고택체험+한옥숙박체험+주문형체헙+안동버버리찰떡+삼훑기+다슬기줍기+불멍체헙+비닐하우스체헙+삼벗기기+사과따기+농촌식단만들기,경상북도 안동시 임하면 금소길 348,054-822-6464,http://www.안동한옥마을.kr
안뜰거북이마을,고흥군,자연생태체험,별자리관측+지층/단층학습체험,전라남도 고흥군 대서면 동서로 1029,NULL,NULL
안하마을,임실군,농작물경작체험+전통문화체험+만들기체험+기타,고추장만들기+두부만들기+비석치기+안하제낚시하기+장승+솟대만들기+한지+목공예+천연비누+방향제만들기+연주산책+산삼식체험+미꾸라지잡기,전북특별자치도 임실군 지사면 안하4길 40,070-7755-4033,NULL
암산마을,안동시,기타+건강+자연생태체험+전통문화체험,깡통열차및보트체험+스케이트+체험관숙박(펜션)+썰매+빙어낚시체험+농사체험,경상북도 안동시 남후면 암산1길 61,054-858-4433,NULL
압해도용마을,신안군,농작물경작체험+전통문화체험+만들기체험+자연생태체험+기타,갯펄생태체험+추억에먹거리+천연향초만들기+전통음식만들기+마늘양파핏자체험+마스크만들기+명품배다기체험+전통김치체험+문화놀이+농사짓기,전라남도 신안군 압해읍 중촌길 8,NULL,NULL
앞섬마을,무주군,농작물경작체험+전통문화체험+자연생태체험+건강+만들기체험,디퓨저만들기체험+반딧불이탐사+복숭아꽃사진콘테스트+복숭아따기체험+복숭아아이스케끼만들기+사과따기체험+사과쨈만들기+향초만들기+텀블러만들기+장미애플파이만들기+자전거트레킹+압화책갈피만들기+사과소스만들기+복숭아쨈만들기+복숭아빙수+복숭아꽃책갈피만들기+복숭아꽃길자전거트레킹+미니크리스마시트리만들기,전북특별자치도 무주군 무주읍 앞섬1길 7,NULL,http://cafe.naver.com/abseom
약초마을,평창군,기타+전통문화체험+자연생태체험,감자옹심이+감자전체험+산나물장아찌담그기+씨앗파종및수확체험+제철비빔밥만들어먹기+캠프화이어+풍등띄우기+커피내려마시기+추억의도시락체험+전통음식체험+송어잡기체험+민물고기잡기체험,강원특별자치도 평창군 진부면 방아다리로 348,033-335-0700,NULL
어름치마을,평창군,기타+자연생태체험+전통문화체험,강의(마을소개)+송어해부+숲해설+오리엔티어링+에코런+야생동물관찰+야간민물고기탐사+슬로우보트+스카이라인/스카이점프+수서곤충관찰+백룡동굴탐사+동강래프팅+동굴래프팅패키지+밤소풍+민물고기잡기체험,강원특별자치도 평창군 미탄면 마하길 41-5,033-332-1260,http://www.mahari.kr
어무실구정승마을,공주시,농작물경작체험+만들기체험+자연생태체험+기타,감자수확체험+김장체험+불고기전골체험+산채수확체험+숙박체험+음식체험+전통농경문화체험+전래벼베기및수확체험+알밤줍기체험+수생생물생태체험+뻥튀기한과체험+바베큐체험+김밥체험,충청남도 공주시 정안면 어물음지말길 1,NULL,NULL
어부동연꽃마을,보은군,농작물경작체험+자연생태체험+건강+기타+전통문화체험+만들기체험,(먹거리)삶은밤+(음료)보리수차+(음료)아이스대추차+(체험)고무보트타기+(체험)보리수수확+(체험)버들피리+(체험)목화관찰+(체험)륜자전거+(체험)동물먹이주기+(체험)농산물수확+(체험)낚시(~인단체)+(체험)낚시+(체험)기타놀이체험+연잎밥+사진촬영+보리수효소+보리수음료+(체험)한달살기+(체험)접목삽목+(체험)인승자전거+(체험)인력마차+(체험)연수련채취+(체험)연날리기+(체험)알밤줍기+(체험)썰매+(체험)손페달보트+(체험)새총쏘기+(체험)사탕수수관찰+(체험)보리수쨈발효액만들기+(음료)연잎차+(음료)비트쥬스+(음료)대추차+(먹거리)연잎상투과자+(먹거리)호박와플+(음료)고구마라떼,충청북도 보은군 회남면 연꽃마을길 39,NULL,http://www.oubudong.kr
억새마을,정선군,기타,농사체험+전통음식만들기+민둥산산나물뜯기,강원특별자치도 정선군 남면 민둥산로 142,033-591-1768,NULL
여울목원곡농촌체험휴양마을,하동군,농작물경작체험+자연생태체험+기타,감따기체험+매실수확+밤줍기체험+산야채나물+미나리수확체험+매실따기+다슬기잡기+딸기체험,경상남도 하동군 횡천면 경서대로 953,NULL,NULL
영동금강모치마을,영동군,농작물경작체험+만들기체험+자연생태체험+기타,감따고곶감깍기+떡메치기(인절미)+협동제기치기+향토전통음식만들기+한지공예만들기체험+포도투호체험+포도수확체험+포낚시체험+팝콘만들기+투호던지기+손두부만들기+소원등날리기+산제당소원빌기+블루베리화분만들기+블루베리쨈만들기+블루베리빙수만들기체험+블루베리따기+박일체험+물놀이및다슬기잡기+캠프파이어+청국장만들기+찹쌀떡만들기+짚풀공예+전통염색체험+전통놀이종체험+올갱이잡기+시골밥상+스내그골프체험+당일체험+감자캐기+국궁활쏘기+깡통열차타기+단감따기체험+고구마캐기,충청북도 영동군 학산면 모리1길 38,043-744-4488,http://mochi.or.kr
영산도명품마을,신안군,기타+자연생태체험+전통문화체험,나만의셀카체헙+해상체험+나만의힐링숲체험+도선체험+떼배체험+조개따기체험+모래성쌓기+나만의열두가지휴식,전라남도 신안군 흑산면 영산길 21,061-261-1003,http://yeongsando.co.kr/
예울림물레방아마을,공주시,기타+만들기체험+전통문화체험,가면만들기+꽃짚신만들기+밤줍기및두부만들기+숙박+윷놀이+해바라기그리기(캔버스)+인절미만들기+예절교육+설매타기.눈사람만들기+민화채색(족자만들기)+꽃물들이기+고무신만들기,충청남도 공주시 우성면 무재길 23-6,041-852-5530,NULL
예하지마을,공주시,농작물경작체험+자연생태체험+만들기체험+전통문화체험,고구마캐러가자+진로체험(공주시)+제철밥상체험+워크숍장이용+워크숍+예하지전통두부만들기+예하지마을인절미체험+알밤줍기+아로니아효소만들기+솟대와장승그게뭐야+황토방숙박+한옥방숙소이용+하지감자캐기+추석맞이송편만들기+체험관이용+체험관숙소이용+찾아가는농촌체험+집터다지기체험+서당골학동체험+북치고장구치고+백제문화제+무지개인절미체험+무지개다식만들기+모내기체험+마을학교체험+마을돌봄+김장축제+김장하고수육먹고+농산물판매+마을광장이용+마을가꾸기박람회새총체험+김장체험,충청남도 공주시 의당면 서당길 72,NULL,NULL
오가마을농촌체험휴양마을,괴산군,농작물경작체험+기타,김장김치체험+두부만들기+원예교실+꽃차만들기,충청북도 괴산군 장연면 미선로오가2길 29,043-832-5585,NULL
오봉산마을,상주시,만들기체험+건강+자연생태체험,떡매치기+오봉산두부+염색체험+양파고추장담기+생강청담그기+산나물장이찌만들기+민화그리기,경상북도 상주시 함창읍 신흥3길 1,054-541-1700,NULL
오서산산촌생태마을,보령시,기타,고추따기체험+매실따기체험+산채취체험+밤줍기체험+두부만들기체험,충청남도 보령시 청소면 넙티로 513-6,041-933-6882,NULL
왕방힐링마을,임실군,농작물경작체험+만들기체험+기타,고추따기+흑염소체험+토끼먹이주기+전통발효액담그기+작약꽃체험,전북특별자치도 임실군 성수면 왕방길 360,NULL,NULL
요천다슬기마을,남원시,농작물경작체험+건강+자연생태체험+전통문화체험+만들기체험,감자옥수수구워먹기+김장체험+농촌마을문화탐방+도시민초청김장축제+리숲길탐방+부각만들기+사진액자만들기+편백베개만들기+편백나무도마만들기+천연비누만들기+전래놀이+원예체험+왜가리탐조+아로마목걸이만들기+쑥인절미만들기+숲체험+부채만들기+목공예만들기+도자기만들기+도농교류도시민농촌문화탐방+냇가체험+고구마수확체험,전북특별자치도 남원시 이백면 황산로 89,063-636-7048,NULL
용추마을,보성군,기타+만들기체험,올벼쌀강정만들기+올벼쌀막걸리만들기+팥죽만들기+천연염색물들이기,전라남도 보성군 웅치면 용추덕림길 89-34,061-853-5115,NULL
우복동마을,상주시,농작물경작체험+건강+기타,감자-수확체험+농산물체험+식사체험-자연산버섯전골+힐링숲체험+야외바베큐+블루베리수확체험+고추-수확체험,경상북도 상주시 화북면 청화로 148,054-536-9722,http://www.우복동.com
우분투 농촌체험휴양마을,상주시,농작물경작체험+자연생태체험+전통문화체험+만들기체험,균형잠자리색칠하기+포도수확포도주담그기+백화산둘레길숲길체험+옥돌도장만들기+옥동서원선비체험+포도수확+포도밭체험및일손도우기+드론날리기체험,경상북도 상주시 모동면 수봉3길 91-16,NULL,NULL
우전 설레미농촌체험휴양마을,신안군,농작물경작체험+자연생태체험,고구마농사체험+땅콩체험+바지락조개체험+오리배체험+카약체험+후리질체험+카약+염전체험+무화과체험+돌게체험+낚시체험,전라남도 신안군 증도면 우전길 21,NULL,NULL
우진송죽마을,보은군,농작물경작체험+만들기체험,대추따기체험+천연염색손수건+천연염색실크스카프+천연염색티셔츠+사과따기체험,충청북도 보은군 삼승면 천남송죽로 383,NULL,NULL
원산마을,함평군,기타,고구마캐기체험+한과만들기체험+인문학교실+옥수수체험+오디따기체험+산나물체취체험+블루베리체험+복분자따기체험+민박+무화과체험+목공예체험+도자기체험+녹차떡케익체험+교육연수,전라남도 함평군 해보면 산내길 55-63,NULL,NULL
원천마을,남원시,기타,두부제조판매+사과즙가공+마을펜션숙박,전북특별자치도 남원시 산내면 산내원천길 33,063-636-2032,http://www.jirisanchon.com
은자골마을,상주시,농작물경작체험+자연생태체험+만들기체험,곶감만들기+배란다텃밭만들기+별자리보기와불멍+농산물수확,경상북도 상주시 은척면 황령길 9,054-541-6182,NULL
은해로운휴양마을,영천시,농작물경작체험+전통문화체험+자연생태체험,간식(국수)무료제공+전통놀이체험+야생화관찰체험+승마체험+산나물채취체험+복숭아쨈만들기+복숭아따기체험+복숭아꽃축제+메뚜기잡기체험+동물체험농장+도토리묵만들기체험+농작물재배체험+농작물수확체험+농산물심기체험+꽃마차타기체험,경상북도 영천시 청통면 대동로 423,054-336-8083,NULL
의신 베어빌리지,하동군,기타+건강+자연생태체험+만들기체험+전통문화체험,걱정인형만들기+도토리묵만들기+반달곰머그컵만들기+밤묵만들기+선학당+에코백만들기+휴양관+천연밀랍양초만들기+조약돌페인팅+숲체험+선학관식체험+반달곰티만들기+반달가슴곰탐방해설+녹차인절미만들기+계곡물놀이체험,경상남도 하동군 화개면 화개로 1405-4,055-883-3580,http://bearvillage.co.kr
임자만났네마을,신안군,농작물경작체험+자연생태체험+건강+전통문화체험,갯벌체험+깡통열차+대파수확체험+버기카체험+에어바운스+전통놀이체험+카약체험+용난굴트레일러체험+생존수영교육+떡매치기체험+귀농귀촌프로그램,전라남도 신안군 임자면 진리길 44,061-261-0153,http://imjalove.imweb.me/
입석마을,하동군,기타,과실수확+매실고추장만들기+매실따기체험+식초만들기+산나물채취+대봉감.곶감만들기,경상남도 하동군 악양면 악양서로 291,NULL,www.ipseok.org
잘산대대박마을,보은군,농작물경작체험+만들기체험+자연생태체험+전통문화체험,계란꾸러미만들기+박공예체험(냅킨공예)+일체험+일숲체험+우드버닝(인두화체험교육)+우드버닝+옥수수따기+숲체험(무봉산)+숲생태체험+숲밧줄놀이/트리클라이밍+사과따기+사과두부만들기+보은미니어처공원견학교육+박공예체험+고구마캐기+덩굴식물+목공예체험+박공예+김치담그기,충청북도 보은군 산외면 내북산외로 661,043-543-6570,NULL
장익는마을,공주시,농작물경작체험+기타,가을추수체험+하지감자캐기체험+포도따기체험+고추따기+무우뽑기+새싹심기+시설임대사용료+농촌일손돕기+고구마캐기체험,충청남도 공주시 이인면 선근리1길 34,NULL,NULL
저우리마을,안동시,기타+자연생태체험+전통문화체험,고택체험+야생화.분재체험+안동식혜만들기+딸기수확체험+메론체험+사군자.국궁체험+미술체험,경상북도 안동시 풍천면 장수길 70,NULL,NULL
적량해비치마을,남해군,농작물경작체험+전통문화체험+건강+자연생태체험+기타,고사리채취체험+보트체험+축구로힐링하기+해맞이행사+통발체험+요트+바다생태체험+낙시체험+대보름소망풍선날리기+무화과따기및쨈만들기+동초및시금치캐기,경상남도 남해군 창선면 흥선로 1196-1,NULL,NULL
적성슬로공동체,순창군,기타+만들기체험,목공미술체험+식음체험-크로와상+식음료체험-티차+식음료체험-커피헤즐럿아메리카노+식음료체험-커피캬라멜마끼아또+식음료체험-커피카페라떼+식음료체험-커피아이스아메리카노+식음료체험-커피아메리카노+식음료체험-에이드+식음료체험-스무디+식음료체험-쉐이크+식음료체험-농가밥상부페+식음료체험-농가밥상+숙박체험(평일)+숙박체험(주말휴일)+발효체험-제빵체험+발효체험-제과체험+발효체험-수제맥주만들기+목공미술체험-대형액자만들기+목공미술체험-소형액자만들기+목공미술체험-중대형액자만들기+발효체험-메주체험+목공미술체험-중형액자만들기+목공미술체험-나무인형색칠하기,전북특별자치도 순창군 적성면 적성로 330,NULL,NULL
전촌(동편제)마을,남원시,농작물경작체험+전통문화체험+자연생태체험+만들기체험+기타,꼬까옷만들기+산양과친구되기+우리농업의이해+흑돈수제소세지체험+활쏘기체험+지리산생햄체험+전통놀이+샤키테리체험+들깨초콜릿체험+농사체험+다도체험+둘레길걷기+동편제국악체험,전북특별자치도 남원시 운봉읍 가산화수길 51-2,063-625-3183,http://www.dongpyeonje.co.kr
정선곤드레마을,정선군,전통문화체험+만들기체험+기타,간장만들기+소원도깨비체험+장아찌+효소+임종체험+된장만들기+고추장만들기,강원특별자치도 정선군 화암면 소금강로 1511,NULL,NULL
정티움,하동군,농작물경작체험+전통문화체험+만들기체험+건강+자연생태체험+기타,감자수제비만들기+도자기체험+딸기고추장만들기+캠핑체험+천연염색+지렁이분변토화분만들기+전래놀이+인성컨퍼런스+이순신장군백의종군로탐방+우리밀빵만들기+연잎밥만들기+연관찰체험+시골밥상만들기+숲체험+소여물주기체험+생태어관찰체험+새콤달콤딸기잼만들기+물놀이체험+모심기체험+딸기젤리만들기+딸기따기체험+딸기국수+된장담그기+단호박식혜만들기+고구마수확체험+고구마피자만들기+다슬기관찰+권역강의,경상남도 하동군 옥종면 고성산동학로 862,055-884-5111,NULL
조개부리마을,태안군,기타,갯벌체험+함초인절미체험+함초비누만들기+농산물수확체험+망둥어낚시+연만들기체험+바다낚시,충청남도 태안군 고남면 옷점길 122-13,NULL,NULL
종생마을,고성군,기타,농작물생산체험+짚풀공예+활만들어쏘기+다슬기담수어잡기체험,경상남도 고성군 대가면 갈천로 174,055-672-3436,NULL
종암마을,순창군,기타,감따기체험+비닐포대눈썰매타기+복분자체험+모내기체험+등산로산책+나만의복분자만들기,전북특별자치도 순창군 쌍치면 국사봉로 308-16,NULL,NULL
죽장마을(솔다박마을),무주군,만들기체험+기타,머루와인만들기+블루베리쨈스무디만들기+블루베리콩포트+솔방울가습기+천연스카프만들기+모기기피제만들기,전북특별자치도 무주군 안성면 장무로 1637,NULL,http://www.soldabakps.com/
죽전마을,합천군,농작물경작체험+자연생태체험+전통문화체험+기타,감자캐기+두릅따기+썰매타기+옥수수따기+표고버섯성장과정및따기+잠자리잡기+여름캠프+별보러오세요+고로쇠체험+겨울캠프+고구마캐기,경상남도 합천군 쌍백면 하안삼리길 168,NULL,NULL
중산마을,무주군,기타+만들기체험,들고튀어라+빨간손의역습,전북특별자치도 무주군 안성면 중산길 28,NULL,NULL
지내권역마을,영동군,기타,농촌에서살아보기+시골살이체험+임시거주시설살기,충청북도 영동군 학산면 넘벌길 32,NULL,NULL
지리산나들락농촌체험휴양마을,남원시,농작물경작체험+자연생태체험+기타+만들기체험+전통문화체험,김장체험+샌드위치만들기+허수아비만들기+천연염색+전통놀이체험+손수건체험+산수유따기체험+농산물수확체험+다식만들기+매실청만들기+물놀이체험+다도체험,전북특별자치도 남원시 주천면 정령치로 101-16,063-634-6655,NULL
지족갯마을,남해군,기타,갯벌생태체험+굴줍기체험+쏙잡기+석방렴체험,경상남도 남해군 삼동면 삼이로24번길 39,055-867-1277,NULL
직전마을,하동군,농작물경작체험+만들기체험+자연생태체험+기타,감자삼곳+고구마캐기+나만의컵만들기+나무목걸이만들기+나무저금통만들기+돗단배타기+뗏목타기+천연화장품+조롱박꾸미기+조롱박공예+조개부채만들기+오리배타기+압화+산나물캐기+미꾸라지잡기+메밀묵만들기+화전만들기+허브자수놓기+허브스틱만들기+허브꽃다발만들기+코스모스꽃물들이기+초크베리따기+천연화장품만들기+떡메치기+냅킨아트+나무액자만들기+나무곤충만들기+나만의부채만들기+강정만들기,경상남도 하동군 북천면 경서대로 2253-21,055-882-9653,NULL
진원반디길,무주군,농작물경작체험+전통문화체험+만들기체험,견학및교육+텀블러만들기+캐릭터열쇠고리만들기+청국장체험+청국장만들기+전통장담그기체험()+전통장담그기체험+전통된장만들기()+보막이체험+반디길체험+모닥불체험+떡만들기+도예체험+농산물수확+구량천생태체험+고추장만들기체험,전북특별자치도 무주군 안성면 진성로 2416-4,063-323-0300,http://www.bandigil.co.kr
참살이조가비촌,고흥군,농작물경작체험+만들기체험+자연생태체험,딸기따기체험+목공체험DIY+복숭아따기체험+핸드드립커피체험+원예체험+바지락캐기체험,전라남도 고흥군 과역면 과역로 832,NULL,NULL
천지갑산마을,안동시,농작물경작체험+건강+만들기체험+기타,고구마캐기+사과피자만들기+옥수수따기+황토온돌방체험+자전거타기체험+옥수수+사과파이만들기+두부만들기+사과따기+사과따기체험(kg)+사과따기체험,경상북도 안동시 길안면 송사시장길 102,054-822-8833,http://www.yessong.co.kr
천탑마을,공주시,농작물경작체험+전통문화체험+건강+만들기체험,단순방문객+편백나무숲해먹타고하늘보기+편백나무숲오수체험+편백나무숲명상체험+토종물고기관찰체험+짚플공예체험+뗏목타기체험+맷돌커피(홍보부스체험)+숲속바베큐체험+옥수수따먹고계곡에서힐링+알밤줍기+돌탑쌓기체험,충청남도 공주시 사곡면 부곡산성로 139,041-841-6521,NULL
청광새들녘마을,고성군,농작물경작체험+자연생태체험+만들기체험+전통문화체험,감따기체험+마을지도만들기+방앗간+시골밥상체험+야외물놀이체험+전통놀이체험+한과(강정)만들기+표고버섯따기체험+청광새들녘펜션+청광새들녘캠핑+천연비누만들기+찰떡만들기+영상제작체험or버스킹체험+식혜(단술)만들기+솔방울가습기만들기+모종심기체험+나무공예품만들기+기름짜기체험,경상남도 고성군 개천면 영회로 1296,NULL,http://cknf.co.kr
청덕권역농촌체험휴양마을,합천군,기타,교육,경상남도 합천군 청덕면 동부로 1754,NULL,NULL
청옥산깨비마을,평창군,농작물경작체험+만들기체험+자연생태체험+기타,김장체험+깨비락체험+숲체험+도깨비모형석고방향제,강원특별자치도 평창군 미탄면 수리재길 21,NULL,NULL
청정가내농촌체험휴양마을,보성군,농작물경작체험+건강+자연생태체험+전통문화체험+만들기체험,고구마표고버섯체험+농산물수확체험+돔우주선체험+바베큐체험+송재생가체험+용암산림치유체험+천상재및월봉생가체험+하트토피어리+힐링치유체험+천상재에서의인문학+차체험+압화체험+솟대만들기+목공예체험+나만의DIY,전라남도 보성군 문덕면 가내길 18-37,061-853-4989,http://www.ganai.kr
청풍호권역농촌체험휴양마을,제천시,농작물경작체험+건강+만들기체험,강정만들기+초코송이만들기+황토둥지캠핑장+팍종이만들기+옥수수따기+마카롱만들기,충청북도 제천시 청풍면 비봉길 53,NULL,NULL
초리넝쿨마을,무주군,만들기체험+자연생태체험+건강,머그컵만들기+초리꽁꽁놀이축제+초리물장구놀이축제+한달살기체험,전북특별자치도 무주군 적상면 초리길 6,NULL,NULL
초향산골짜기마을,정선군,기타,송어잡기+풍경차투어,강원특별자치도 정선군 남면 영곡길 414,NULL,NULL
총댕이마을,순창군,농작물경작체험+만들기체험+건강+기타+전통문화체험,나무인식표만들기+캠프파이어+이벤트프로그램+우당탕탕총댕이에서살아남기+야외야간서바이벌체험+야외서바이벌체험_일반단체+야외서바이벌체험_군민단체+야외서바이벌체험(군민)+야외서바이벌체험+실내저격총사격체험+실내소총사격체험+맷돌+비지전만들기,전북특별자치도 순창군 쌍치면 피노길 23-1,NULL,http://www.총댕이마을.com
추동체험휴양마을,무주군,농작물경작체험+자연생태체험+만들기체험+기타,감자샌드위치만들기+나만의밀집모자만들기+추자나무문패만들기+물고기잡기체험(여름)+김부각만들기+감자수확체험+고구마수확체험,전북특별자치도 무주군 무주읍 삼방로 934,NULL,http://늘품.net
추어마을,남원시,농작물경작체험+건강+자연생태체험+전통문화체험+만들기체험,고구마캐기+머그컵꾸미기+미꾸리개운죽테라리움+삼굿구이+추어음식만들기+천연염색/비누만들기+짚풀공예+음식판매+오디따기+야생차만들기+아로마테라피+시래기엮기+손모내기+캐모마일꽃따기+부채꾸미기+미꾸라지잡기+만행산트레킹+나도천연화장품제조사+농사체험+마을길걷기,전북특별자치도 남원시 보절면 용동길 28,063-634-4640,NULL
춘당노다지마을,횡성군,농작물경작체험+전통문화체험+건강+만들기체험+기타,가족패키지체험+부대시설사용료+성당캠프(자체운영)+풋골프체험+캠프파이어+자연물보물찾기+옥수수따기체험+야외캠핑+식+숙박+성당캠프(위탁운영)+바베큐패키지체험+고르곤졸라피자만들기+날계란구출작전+바베큐음식문화체험+물고기잡기,강원특별자치도 횡성군 청일면 춘당로 232,NULL,http://cafe.naver.com/ypcwcamping
치목삼베마을,무주군,농작물경작체험+전통문화체험+자연생태체험+기타,꽃차만들기+떡만들기체험+블루베리따기체험+삼베짜기+사과따기+봄축제+두부체험+대마밥상,전북특별자치도 무주군 적상면 치목길 83,063-324-3649,NULL
치즈마을,임실군,농작물경작체험+만들기체험+전통문화체험+기타,모객지원+피자만들기체험+쿠키체험+치즈빵체험+치즈만들기체험+윷가락치즈가락+요거트체험+에코백만들기+산양먹이주기체험+방앗간체험+경운기타기체험+레귤러피자만들기체험+마을투어+미니피자만들기+머그컵만들기+C코스,전북특별자치도 임실군 임실읍 치즈마을1길 4,063-643-3700,NULL
친환경까치마을,부여군,농작물경작체험+만들기체험+기타,농촌에서한달살기+토종곡물쿠키만들기+현미빵만들기+전통놀이체험+딸기체험+삼색캔들만들기체험+양봉체험+시골밥상체험,충청남도 부여군 초촌면 진호로 2,NULL,NULL
태기산마을,횡성군,전통문화체험+만들기체험+건강+자연생태체험,EM천연주물럭비누만들기+박일치유프로그램+봉숭아물들이기+야생화그리기(천아트)+양말목공예+전통연만들기+야생화꽃바구니+숲체험치유+복조리플라워+국자랑-선도기혈치유,강원특별자치도 횡성군 청일면 청일로779번길 117,033-342-7675,NULL
태안별주부마을,태안군,농작물경작체험+자연생태체험+만들기체험+전통문화체험,갯벌체험(맛조개잡이)+황토호박고구마캐기+독살체험+방향제만들기+별주부자라빵만들기+취나물채취하기+취나물인절미떡메치기체험+꽃게그물털기체험,충청남도 태안군 남면 별주부길 102,041-672-3359,NULL
토정마을,보령시,기타,눈꽃송이만들기+표고피자만들기+표고버섯체험+쑥개떡만들기+숲체험+숙박(캠핑)+떡메치기+박쥐동굴체험+뻥튀기+숙박(시설물임대)+석고부조색칠하기+눈썰매장,충청남도 보령시 청라면 윗장골길 113,041-935-3033,NULL
평사드레,하동군,전통문화체험+만들기체험+건강,다도체험+동정호컬러링체험+족욕체험+코로나백신캔들만들기+도깨비소원판달기,경상남도 하동군 악양면 악양서로 92,055-883-6640,NULL
푸르내로마을,고흥군,농작물경작체험+자연생태체험+기타,감자/고구마캐기체험+망둥어낚시체험+복숭아따기+석류따기+유자체험+바지락체험+고동잡기,전라남도 고흥군 과역면 과역로 402-50,NULL,NULL
하늘오름마실,문경시,농작물경작체험+자연생태체험+전통문화체험+만들기체험,나무공예+자연생태체험+도자기교육+도자기체험+사과따기체험+산삼캐기체험+사발커피체험+다도체험,경상북도 문경시 문경읍 관음길 77,NULL,NULL
하얀민들레마을,보은군,기타+만들기체험+전통문화체험,계절별농산물수확체험+떡메치기+숲해설+조선시대생활체험+캠프파이어+팽이만들어체험하기+차시음+자수체험+민들레밥상체험+다도체험+곶감깍기,충청북도 보은군 회인면 부수길 111-2,NULL,http://www.busuri.com
하주발효마을회,남원시,농작물경작체험+건강+자연생태체험+만들기체험+전통문화체험,고구마빵+골드테라피+꽃차+남원음식디미방+라탄소품만들기+마들렌+목이버섯재배사+바느질체험+이단행거+우리밀건강빵만들기+오색인절미+염색체험+연잎+모싯잎바람떡만들기+쌀식빵만들기+소떡소떡만들기+사계절생태체험숲에서+발효테라피+효소담그기+피자만들기+편백도마만들기+쿠키만들기+케이크만들기+캐릭터바람떡+청만들기+전통주+전통된장담그기+전통고추장+잼만들기+작은학교:매칭글단풍+목이피클만들기+머핀만들기+레인보우가래떡만들기+농작물수확체험+나만의머그컵만들기+김장체험,전북특별자치도 남원시 주천면 고주로 1274,NULL,NULL
학정마을,임실군,농작물경작체험+전통문화체험+만들기체험,강정만들기+농사체험+전통놀이+팔찌만들기+치즈호떡만들기+엿체험+김장체험+국화꽃따기체험,전북특별자치도 임실군 삼계면 학정3길 43,063-644-8821,http://hjgreen.com
학현마을,제천시,농작물경작체험+자연생태체험,고구마캐기체험+엄나무순채취+매실따기체험,충청북도 제천시 청풍면 학현소야로 299,043-647-7080,NULL
한농마을,상주시,농작물경작체험+만들기체험+자연생태체험+건강+전통문화체험,GMO의유해성과유기농산물+꽃차체험+디톡스힐링+로푸드체험+야생화천아트+유기농채식요리체험+주변명소투어+해독힐링스쿨+참가비+자연만들기숲체험길+유기농건강식단체험+로푸드카페+레크레이션+농사,경상북도 상주시 외서면 송죽동2길 15,NULL,https://blog.naver.com/lohasvilg
한방웰니스마을,공주시,농작물경작체험+건강+자연생태체험+전통문화체험,가을열매체험+사우나+자전거라이딩+족욕체험+캠핑+체육활동+전통놀이체험+쑥뜸+부황체험+물놀이,충청남도 공주시 우성면 무성산로 296,NULL,NULL
합천박물관마을농촌체험휴양마을,합천군,만들기체험+기타,딸기떡만들기+떡(양파+딸기)만들기,경상남도 합천군 쌍책면 황강옥전로 1620,NULL,NULL
합천양떡메농촌체험휴양마을,합천군,기타+만들기체험,두부만들기+떡메치기/인절미만들기체험+장담기/항아리분양,경상남도 합천군 초계면 국사봉로 903,055-931-7622,NULL
해당화마을,함평군,농작물경작체험+전통문화체험+건강+만들기체험,농촌생활체험+버물리밤+아로마족욕체험+천연화장품(에센스+크림)+향기치유프로그램(룸스프레이)+호흡기바이러스예방아로마스프레이+향초만들기+해당화미스트+아로마체험(근육관절스프레이)+수제비누만들기+미세먼지호흡기스프레이+다도예절+모기퇴치제,전라남도 함평군 손불면 안악길 42-67,061-324-9711,NULL
해락촌마을,평창군,기타+자연생태체험+건강+전통문화체험,atv산악체험+동강래프팅+마차투어+야외웨딩+전통활쏘기체험+전통웰빙떡만들기+봄나물채취체험+깡통열차투어,강원특별자치도 평창군 평창읍 고길천로 123,NULL,http://ohstarvillage.com
